$ mlx-guard run --max-footprint 6GiB --wall-time 10m --report reports/run-fixed.json -- python examples/tutorial/summarize_docs.py --no-keep-caches --progress reports/fixed-progress.json
mlx-guard: enforcing a 6442450944-byte footprint limit; emergency KILL at 7086696038 bytes, about 10% above the limit
70 pages, 70 to do, keep_caches=False
page 1/70 in 1.2s; mlx active 1.79 GiB; caches held 0
page 2/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 3/70 in 0.6s; mlx active 1.74 GiB; caches held 0
page 4/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 5/70 in 0.5s; mlx active 1.71 GiB; caches held 0
page 6/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 7/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 8/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 9/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 10/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 11/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 12/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 13/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 14/70 in 1.2s; mlx active 1.79 GiB; caches held 0
page 15/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 16/70 in 0.8s; mlx active 1.77 GiB; caches held 0
page 17/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 18/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 19/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 20/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 21/70 in 0.7s; mlx active 1.74 GiB; caches held 0
page 22/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 23/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 24/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 25/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 26/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 27/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 28/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 29/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 30/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 31/70 in 0.7s; mlx active 1.74 GiB; caches held 0
page 32/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 33/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 34/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 35/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 36/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 37/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 38/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 39/70 in 0.8s; mlx active 1.77 GiB; caches held 0
page 40/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 41/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 42/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 43/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 44/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 45/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 46/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 47/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 48/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 49/70 in 1.2s; mlx active 1.79 GiB; caches held 0
page 50/70 in 1.2s; mlx active 1.79 GiB; caches held 0
page 51/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 52/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 53/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 54/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 55/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 56/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 57/70 in 1.2s; mlx active 1.79 GiB; caches held 0
page 58/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 59/70 in 1.1s; mlx active 1.79 GiB; caches held 0
page 60/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 61/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 62/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 63/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 64/70 in 1.0s; mlx active 1.79 GiB; caches held 0
page 65/70 in 1.0s; mlx active 1.77 GiB; caches held 0
page 66/70 in 1.1s; mlx active 1.77 GiB; caches held 0
page 67/70 in 0.8s; mlx active 1.77 GiB; caches held 0
page 68/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 69/70 in 0.9s; mlx active 1.77 GiB; caches held 0
page 70/70 in 1.1s; mlx active 1.79 GiB; caches held 0
done: 70 summaries in 69s -> reports/fixed-progress.json
mlx-guard: child_exited at 70983ms; 1320 samples, 0 signals
$ echo $?
0
